0:004> bp ntdll!RtlpLowFragHeapAllocFromContext+180 ".printf \"currIDx == 0x%x\\r\\n\", @ax;g"
0:004> g
currIDx == 0x25bf
currIDx == 0x25c0
currIDx == 0x25c1
currIDx == 0x25c2
currIDx == 0x25c3
currIDx == 0x25c4
currIDx == 0x25c5
currIDx == 0x25c6
currIDx == 0x25c7
currIDx == 0x25c8
currIDx == 0x25c9
currIDx == 0x25ca
currIDx == 0x25cb
currIDx == 0x25cc
currIDx == 0x25cd
currIDx == 0x25ce
currIDx == 0x25cf
currIDx == 0x25d0
currIDx == 0x25d1
currIDx == 0x25d2
currIDx == 0x25d3
currIDx == 0x25d4
currIDx == 0x25d5
currIDx == 0x25d6
currIDx == 0x25d7
currIDx == 0x25d8
currIDx == 0x25d9
currIDx == 0x25da
currIDx == 0x25db
currIDx == 0x25dc
currIDx == 0x25dd
currIDx == 0x25de
currIDx == 0x25df
currIDx == 0x25e0
currIDx == 0x25e1
currIDx == 0x25e2
currIDx == 0x25e3
currIDx == 0x25e4
currIDx == 0x25e5
currIDx == 0x25e6
currIDx == 0x25e7
currIDx == 0x25e8
currIDx == 0x25e9
currIDx == 0x25ea
currIDx == 0x25eb
currIDx == 0x25ec
currIDx == 0x25ed
currIDx == 0x25ee
currIDx == 0x25ef
currIDx == 0x25f0
currIDx == 0x25f1
currIDx == 0x25f2
currIDx == 0x25f3
currIDx == 0x25f4
currIDx == 0x25f5
currIDx == 0x25f6
currIDx == 0x25f7
currIDx == 0x25f8
currIDx == 0x25f9
currIDx == 0x25fa
currIDx == 0x25fb
currIDx == 0x25fc
currIDx == 0x25fd
currIDx == 0x25fe
currIDx == 0x25ff
currIDx == 0x2500
currIDx == 0x2501
currIDx == 0x2502
currIDx == 0x2503
currIDx == 0x2504
currIDx == 0x2505
currIDx == 0x2506
currIDx == 0x2507
currIDx == 0x2508
currIDx == 0x2509
currIDx == 0x250a
currIDx == 0x250b
currIDx == 0x250c
currIDx == 0x250d
currIDx == 0x250e
currIDx == 0x250f
currIDx == 0x2510
currIDx == 0x2511
currIDx == 0x2512
currIDx == 0x2513
currIDx == 0x2514
currIDx == 0x2515
currIDx == 0x2516
currIDx == 0x2517
currIDx == 0x2518
currIDx == 0x2519
currIDx == 0x251a
currIDx == 0x251b
currIDx == 0x251c
currIDx == 0x251d
currIDx == 0x251e
currIDx == 0x251f
currIDx == 0x2520
currIDx == 0x2521
currIDx == 0x2522
currIDx == 0x2523
currIDx == 0x2524
currIDx == 0x2525
currIDx == 0x5d5e
currIDx == 0x5d5f
currIDx == 0x5d60
currIDx == 0x5d61
currIDx == 0x5d62
currIDx == 0x5d63
currIDx == 0x5d64
currIDx == 0x5d65
currIDx == 0x5d66
currIDx == 0x5d67
currIDx == 0x5d68
currIDx == 0x5d69
currIDx == 0x5d6a
currIDx == 0x5d6b
currIDx == 0x5d6c
currIDx == 0x5d6d
currIDx == 0x5d6e
currIDx == 0x5d6f
